NÚM.,TOM,MOST.,NOM CIENTÍFIC A HCBPFQ,FAMÍLIA HCBPFQ,NOM CIENTÍFIC A FMPC 2005,FAMÍLIA FMPC 2005,Nom vulgar,Enllaç al Medi Natural del Bages,Comentaris,Amaga
333,5,1,Vaccaria vulgaris,Cariofiláceas,Vaccaria hispanica,Cariofil·làcies,Vacària,https://elmedinaturaldelbages.cat/species/vacaria-vaccaria-hispanica/,,
498,8,1,Valeriana montana,Valerianáceas,Valeriana montana,Valerianàcies,Valeriana muntanyenca,https://elmedinaturaldelbages.cat/species/valeriana-muntanyenca-valeriana-montana-ssp-montana/,,
499,8,1,Valeriana officinalis ,Valerianáceas,Valeriana officinalis ,Valerianàcies,Valeriana,https://elmedinaturaldelbages.cat/species/valeriana-valeriana-officinalis/,,
500,8,1,Valerianella eriocarpa,Valerianáceas,Valerianella eriocarpa,Valerianàcies,Herba dels canonges (Valerianella eriocarpa),https://elmedinaturaldelbages.cat/species/herba-dels-canonges-canonges-margarideta-valerianella-eriocarpa/,,
501,8,1,Valerianella pumila,Valerianáceas,Valerianella pumila,Valerianàcies,Herba dels canonges (Valerianella pumila),,,
453,7,1,Verbascum Blattaria ,Verbascáceas,Verbascum blattaria ,Escrofulariàcies,Blatària,,,
454,7,1,Verbascum Boerhavii,Verbascáceas,Verbascum boerhavii,Escrofulariàcies,Porpres,,,
455,7,1,Verbascum Lychnitis ,Verbascáceas,Verbascum lychnitis ,Escrofulariàcies,Candelera (Verbascum lychnitis),https://elmedinaturaldelbages.cat/species/trepo-candeler-verbascum-lychnitis/,,
456,7,1,Verbascum sinuatum ,Verbascáceas,Verbascum sinuatum ,Escrofulariàcies,Trepó ploraner,https://elmedinaturaldelbages.cat/species/trepo-ploraner-verbascum-sinuatum/,,
618,10,1,Verbena officinalis,Verbenáceas,Verbena officinalis,Verbenàcies ,Berbena,https://elmedinaturaldelbages.cat/species/berbena-verbena-officinalis/,,
445,7,1,Veronica Anagallis,Escrofulariáceas,Veronica anagallis-aquatica ,Escrofulariàcies,Anagall d'aigua,https://elmedinaturaldelbages.cat/species/anagall-daigua-veronica-anagallis-aquatica/,,
446,7,1,Veronica arvensis,Escrofulariáceas,Veronica arvensis,Escrofulariàcies,Verònica arvense,https://elmedinaturaldelbages.cat/species/veronica-arvensis/,,
452,7,1,Veronica Teucrium,Escrofulariáceas,Veronica austriaca subsp. teucrium,Escrofulariàcies,Verònica austríaca,https://elmedinaturaldelbages.cat/species/veronica-austriaca-veronica-austriaca-ssp-teucrium/,,
448,7,1,Veronica officinalis,Escrofulariáceas,Veronica officinalis,Escrofulariàcies,Verònica oficinal,,,
449,7,1,Veronica Persica,Escrofulariáceas,Veronica persica,Escrofulariàcies,Verònica pèrsica,https://elmedinaturaldelbages.cat/species/veronica-persica/,,
447,7,1,Veronica didyma,Escrofulariáceas,Veronica polita,Escrofulariàcies,Verònica polida,https://elmedinaturaldelbages.cat/species/veronica-polita/,,
450,7,1,Veronica praecox,Escrofulariáceas,Veronica praecox,Escrofulariàcies,Verònica precoç,,,
451,7,1,Veronica prostrata,Escrofulariáceas,Veronica prostrata,Escrofulariàcies,Verònica prostrada,,Probablement és Veronica austriaca subsp. vahlii (= V.a. subsp. teucrium var. dubia),
494,8,1,Viburnum Lantana,Caprifoliáceas,Viburnum lantana,Caprifoliàcies,Tortellatge,https://elmedinaturaldelbages.cat/species/tortellatge-viburnum-lantana/,,
495,8,1,Viburnum Tinus,Caprifoliáceas,Viburnum tinus,Caprifoliàcies,Marfull,https://elmedinaturaldelbages.cat/species/marfull-viburnum-tinus/,,
244,4,1,Vicia Cracca,Papilionáceas,Vicia cracca,Papilionàcies,Garlanda (Vicia cracca),,,
249,4,1,Vicia tenuifolia,Papilionáceas,Vicia cracca subsp. tenuifolia,Papilionàcies,Garlanda (Vicia cracca subsp. tenuifolia),https://elmedinaturaldelbages.cat/species/garlanda-vicia-cracca-ssp-tenuifolia/,,
199,4,1,Ervum Ervilia,Papilionáceas,Vicia ervilia,Papilionàcies,Erb,,,
245,4,1,Vicia hybrida,Papilionáceas,Vicia hybrida,Papilionàcies,Veçota,https://elmedinaturaldelbages.cat/species/vecota-vicia-hybrida/,,
246,4,1,Vicia lutea,Papilionáceas,Vicia lutea,Papilionàcies,Galavars,,,
247,4,1,Vicia sativa,Papilionáceas,Vicia sativa,Papilionàcies,Veça (Vicia sativa),https://elmedinaturaldelbages.cat/species/veca-o-vecera-vicia-sativa-ssp-sativa/,,
248,4,1,Vicia sepium,Papilionáceas,Vicia sepium,Papilionàcies,Veça de bosc,https://elmedinaturaldelbages.cat/species/veca-de-bosc-o-de-bardissa-vicia-sepium/,,
200,4,1,Ervum gracile,Papilionáceas,Vicia tetrasperma subsp. gracilis ,Papilionàcies,Veça (Vicia tetrasperma),,,
393,6,1,Vinca media,Apocináceas,Vinca difformis,Apocinàcies,Vinca,https://elmedinaturaldelbages.cat/species/vincapervinca-vinca-difformis/,,
347,6,1,Vincetoxicum officinale,Asclepiadáceas,Vincetoxicum hirundinaria subsp. intermedium,Asclepiadàcies,Masera,https://elmedinaturaldelbages.cat/species/masera-pebrotera-borda-vincetoxicum-hirundinaria-subsp-intermedium/,,
346,6,1,Vincetoxicum nigrum,Asclepiadáceas,Vincetoxicum nigrum,Asclepiadàcies,Masera negra,https://elmedinaturaldelbages.cat/species/masera-negra-vincetoxicum-nigrum/,,
182,3,1,Viola Dehnahardti,Violáceas,Viola alba subsp. dehnhardtii ,Violàcies,Violeta de bosc,https://elmedinaturaldelbages.cat/species/violeta-de-bosc-viola-alba-ssp-dehnhardtii/,,
